course_name,course_url,topics,skills,tools,syllabus_summary
AB Testing for Data Scientists & Product Managers,https://maven.com/prepvector/ab-testing-course,A/B Testing,"A3: Eval & Iteration (80%), A1: Strategy & Feasibility (30%), A4: Shipping & Lifecycle (30%)",,"Inspiring journey in data science: Product Data Science Bootcamp Learner, Experimentation as the Engine of Product Development, 1:1 Mentorship with Industry Expert, A Framework for Experimentation, Product Data Science Bootcamp, From Metrics to Decisions: A Role of Product Data Scientist, Case Study - Airbnb, From Ideas To Priorities, Experimentation as the Engine of Iterative Development, The Evolving Interview Landscape, Identifying Skill Gaps and Growth Areas, Interpreting A/B Test Results: Statistical vs. Practical Significance, Advanced AB Testing Workshop, How Data Drives Product Impact, Case study"
AEO Masterclass: AI Search Beyond SEO,https://maven.com/bermawy/ai-search-answer-engine-optimization,"AEO, AI","A1: Strategy & Feasibility (30%), B1: Models & Selection (30%)","ChatGPT, Claude, Gemini, Perplexity","1. Intro to AI Search and Answer Engines, 2. AI Overview - Google and Bing, 4. Voice Assistant Optimization (Alexa, Siri, Google Assistant)"
AI Agent Builder Bootcamp,https://maven.com/no-code-ai/ai-agents-bootcamp,"AI, Agentic AI, Prototyping","A1: Strategy & Feasibility (80%), B3: Agents & RAG (80%), A3: Eval & Iteration (30%), A4: Shipping & Lifecycle (30%), B2: System Architecture (30%), A5 (80%)","ChatGPT, Claude, Gemini, OpenAI API, Perplexity, Zapier, n8n","Agent Scoping: What Should (and Shouldn't) Be Automated, Planning Your Agent, Submit Your AI Agent, Your First Mini Challenge: Lets Go!, ROI Calculation: Is This Agent Worth Building?, Further Resources, Start Here!, Anatomy of a Lindy Agent, Building Your First MCP Server, The 3 Phases of AI Evolution, Visual Workflow Design, Safe Rollbacks, Build: Add More Functions to Your Agent, How MCP Works - The Core Concepts, Build an Email to Calendar Agent (Part 1)"
AI Agent Certification,https://maven.com/jacob-bank/how-to-build-an-ai-agent,"AI, Agentic AI","B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%)",Relay,"Get Started, Create 3 AI Agent Job Descriptions, Build your first agent!, Build More Powerful Agents"
AI Agent Certification for Product Managers,https://maven.com/jacob-bank/ai-agents-for-pms,Agentic AI,"B3: Agents & RAG (80%), A3: Eval & Iteration (30%)",,"Build Agent #1: The Researcher, Build Agent #2: The Project Manager, Build Agent #3: The Analyst"
"AI Agent Engineering: From ReAct, Agentic RAG to Multi-Agent Orchestration",https://maven.com/rakeshgohel/ai-agent-engineering-react-rag-multi-agent,"AI, Agentic AI","B3: Agents & RAG (80%), B1: Models & Selection (30%), B2: System Architecture (30%)",,
"AI Agents for Pragmatic Builders - Claude Code, LangGraph, n8n",https://maven.com/aggregate-intellect/llm-systems,"AI, Agentic AI","B3: Agents & RAG (80%), A4: Shipping & Lifecycle (30%), B2: System Architecture (30%)",,"Course Project - Goes on for 7 Weeks, 5 ways to make the most of cohort-based courses and your learning community, Housekeeping!, Navigating the course content on Maven"
AI Agents for Product Leaders Certification ,https://maven.com/marily-nika/ai-agent-certification,"AI, Agentic AI","A1: Strategy & Feasibility (80%), B3: Agents & RAG (80%), A4: Shipping & Lifecycle (30%), B2: System Architecture (30%)","GPT-4, Zapier","Hardware / Software, AI Agent Requirements Doc, Task Automation, Zapier Workshop Worksheet, Personal Assistants, Digital Tools, Voice-based Assistance, Chatbots vs AI Agents vs Multi-Agents, Digital Workers, Crafting the right Agent for your Product"
AI Builder Bootcamp for Product People,https://maven.com/theaiinternship/ai-builder,"AI, Bootcamp","A4: Shipping & Lifecycle (80%), B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A3: Eval & Iteration (30%), B2: System Architecture (30%), D1: Communication & Influence (30%), A5 (80%)","Claude, Claude Code, Cursor, Lovable, n8n","Integrating an External API, Workflow Automation with n8n, Understanding RAG (Plain English), Creating Core Actions (CRUD), When No-Code Is No Longer Enough, AI Feature #3: Smart Suggestions, Exporting Your Code, Basic Analytics & Cost Awareness, Slides, Pre-Course Checklist, N8N Workflows, WEEK 1 ASSIGNMENT: Build Your Portfolio Project, Review Material [Optional], Designing Your Core Data, Week 3 - Assignment"
AI Builders Bootcamp,https://maven.com/shaw-talebi/ai-builders-bootcamp,"AI, Prototyping","A3: Eval & Iteration (80%), B2: System Architecture (80%), B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A4: Shipping & Lifecycle (30%), B1: Models & Selection (30%), A5 (80%)","ChatGPT, Cursor, Hugging Face","Module 1: AI, Software 1.0, Module 1.5: Software 2.0, Machine Leaning, Data Engineering, Module 2: Software 3.0, LLMs, Prompt Engineering, Module 3:  RAG, Embedding Models, Module 4: Tool Use, AI Agents, Module 5: Fine-tuning LLMs, Module 6: AI Project Management, 30 AI Projects You Can Build This Weekend, Build a Python Automation, Build an LLM Automation, Solve a Problem with Embeddings, Build an Agentic System, Improve an AI App with Evals, Submission Guidelines, Course GitHub Repo"
